2014-01-11 02:38:58,626 INFO  - Run Observer 
2014-01-11 02:39:07,860 INFO  - SELECT distinct exp.UserName, exp.NotebookName, exp.ExperimentName, exp.Scenario, exr.DBMSName, exr.StartTime, exr.CurrentStage, exr.Percentage, exr.MachineName, exe.CurrentStatus, exr.RunID FROM AZDBLAB_EXPERIMENT exp, AZDBLAB_EXPERIMENTRUN exr, AZDBLAB_EXECUTOR exe WHERE exp.ExperimentID = exr.ExperimentID and exp.userName = 'yksuh' and exp.notebookName = 'XACT_TEST' and exp.experimentName = 'tps-30K' AND ((exr.MachineName = exe.MachineName AND exr.DBMSName = exe.CurrentDBMSName) OR exr.CurrentStage = 'Pending') 
2014-01-11 02:39:11,804 INFO  - SELECT distinct exp.UserName, exp.NotebookName, exp.ExperimentName, exp.Scenario, exr.DBMSName, exr.StartTime, exr.CurrentStage, exr.Percentage, exr.MachineName, exe.CurrentStatus, exr.RunID FROM AZDBLAB_EXPERIMENT exp, AZDBLAB_EXPERIMENTRUN exr, AZDBLAB_EXECUTOR exe WHERE exp.ExperimentID = exr.ExperimentID and exp.userName = 'yksuh' and exp.notebookName = 'XACT_TEST' and exp.experimentName = 'tps-30K' AND ((exr.MachineName = exe.MachineName AND exr.DBMSName = exe.CurrentDBMSName) OR exr.CurrentStage = 'Pending') 
2014-01-11 02:39:11,830 INFO  - insert statement for labshelf: INSERT INTO AZDBLAB_RUNLOG(RunID, TransactionTime, CurrentStage, Percentage) VALUES (13, to_timestamp('Sat, Jan 11 2014 02:39:11:791', 'DY, MON DD YYYY HH24:MI:SS:FF'), 'Aborted', 100.0) 
2014-01-11 02:39:31,100 INFO  - insert statement for labshelf: INSERT INTO AZDBLAB_EXPERIMENTRUN(RunID, ExperimentID, DBMSName, StartTime, CurrentStage, Percentage, MachineName) VALUES (14, 53, 'oracle', to_timestamp('Sat, Jan 11 2014 02:39:31:041', 'DY, MON DD YYYY HH24:MI:SS:FF'), 'Pending', 0.0, 'sodb12.cs.arizona.edu') 
2014-01-11 12:12:14,757 INFO  - SELECT SourceXML FROM AZDBLAB_EXPERIMENT WHERE ExperimentID=54 AND UserName='yksuh' AND NotebookName='XACT_TEST' AND ExperimentName='tps-30K-100' AND Scenario='tps' AND SourceFileName='/cs/projects/tau/installations/azdblab/yksuh_thesis/experiments/expspec_tps/tps_30K_100.xml' AND CreateDate=to_date('Sat, Jan 11 2014 12:12:14', 'DY, MON DD YYYY HH24:MI:SS') 
2014-01-11 12:12:14,935 INFO  - SELECT SourceXML FROM AZDBLAB_EXPERIMENTSPEC WHERE ExperimentSpecID=106 AND Name='ft' AND FileName='TestDataDef30K.xml' AND Kind='D' 
2014-01-11 12:12:15,012 INFO  - insert statement for labshelf: INSERT INTO AZDBLAB_REFERSEXPERIMENTSPEC(ExperimentID, Kind, ExperimentSpecID) VALUES (54, 'D', 106) 
2014-01-11 12:12:31,039 INFO  - insert statement for labshelf: INSERT INTO AZDBLAB_EXPERIMENTRUN(RunID, ExperimentID, DBMSName, StartTime, CurrentStage, Percentage, MachineName) VALUES (15, 54, 'oracle', to_timestamp('Sat, Jan 11 2014 12:12:31:008', 'DY, MON DD YYYY HH24:MI:SS:FF'), 'Pending', 0.0, 'sodb12.cs.arizona.edu') 
2014-01-11 12:12:37,162 INFO  - insert statement for labshelf: INSERT INTO AZDBLAB_EXPERIMENTRUN(RunID, ExperimentID, DBMSName, StartTime, CurrentStage, Percentage, MachineName) VALUES (16, 54, 'sqlserver', to_timestamp('Sat, Jan 11 2014 12:12:37:132', 'DY, MON DD YYYY HH24:MI:SS:FF'), 'Pending', 0.0, 'sodb6') 
2014-01-11 12:12:45,731 INFO  - Exponential backoff is performed for : 2000 (ms) 
2014-01-11 12:12:47,735 INFO  - Exponential backoff is performed for : 4000 (ms) 
2014-01-11 12:12:51,739 INFO  - Exponential backoff is performed for : 8000 (ms) 
2014-01-11 12:12:59,743 INFO  - Exponential backoff is performed for : 16000 (ms) 
2014-01-11 12:13:15,748 INFO  - Exponential backoff is performed for : 32000 (ms) 
2014-01-11 12:13:47,755 INFO  - Exponential backoff is performed for : 64000 (ms) 
2014-01-11 12:14:51,759 INFO  - Exponential backoff is performed for : 128000 (ms) 
2014-01-11 12:16:59,764 INFO  - Exponential backoff is performed for : 256000 (ms) 
2014-01-11 12:21:15,769 INFO  - Exponential backoff is performed for : 512000 (ms) 
2014-01-11 12:29:47,774 INFO  - Exponential backoff is performed for : 1024000 (ms) 
2014-01-11 12:40:19,908 INFO  - SELECT distinct exp.UserName, exp.NotebookName, exp.ExperimentName, exp.Scenario, exr.DBMSName, exr.StartTime, exr.CurrentStage, exr.Percentage, exr.MachineName, exe.CurrentStatus, exr.RunID FROM AZDBLAB_EXPERIMENT exp, AZDBLAB_EXPERIMENTRUN exr, AZDBLAB_EXECUTOR exe WHERE exp.ExperimentID = exr.ExperimentID and exp.userName = 'yksuh' and exp.notebookName = 'XACT_TEST' and exp.experimentName = 'tps-30K-100' AND ((exr.MachineName = exe.MachineName AND exr.DBMSName = exe.CurrentDBMSName) OR exr.CurrentStage = 'Pending') 
2014-01-11 12:41:09,644 INFO  - insert statement for labshelf: INSERT INTO AZDBLAB_EXPERIMENTRUN(RunID, ExperimentID, DBMSName, StartTime, CurrentStage, Percentage, MachineName) VALUES (17, 54, 'sqlserver', to_timestamp('Sat, Jan 11 2014 12:41:09:612', 'DY, MON DD YYYY HH24:MI:SS:FF'), 'Pending', 0.0, 'sodb6.cs.arizona.edu') 
